AgentID,Episode,AverageAngle
24586,1,0.8769197
25002,1,1.342596
25166,1,0.4457586
25474,1,1.400197
26950,1,0.766951
27400,1,0.3694071
24586,2,0.4507695
25002,2,1.208472
25166,2,0.9510555
25474,2,0.7870088
26950,2,0.8512325
27400,2,1.717387
24586,3,2.158714
25002,3,1.106026
25166,3,0.3457244
25474,3,0.5848061
26950,3,0.3400932
27400,3,2.043119
24586,4,0.6786914
25002,4,0.9999571
25166,4,1.075599
25474,4,1.798123
26950,4,1.379076
27400,4,0.7266392
24586,5,0.5003094
25002,5,0.9678887
25166,5,1.52199
25474,5,1.048097
26950,5,0.2323098
27400,5,0.4534339
24586,6,1.298563
25002,6,0.7969903
25166,6,0.4557988
25474,6,1.064926
26950,6,1.444751
27400,6,0.5356622
24586,7,2.161216
25002,7,1.39584
25166,7,0.6777279
25474,7,0.8935832
26950,7,1.172988
27400,7,1.540497
24586,8,0.6159755
25002,8,0.7100044
25166,8,0.2322645
25474,8,0.5710856
26950,8,0.3101999
27400,8,0.6183667
24586,9,2.494589
25002,9,0.3581775
25166,9,0.6504178
25474,9,1.162578
26950,9,0.4989116
27400,9,2.588923
24586,10,0.231846
25002,10,1.820792
25166,10,0.1885675
25474,10,0.4056782
26950,10,0.5610403
27400,10,0.348632
24586,11,0.3074313
25002,11,2.056539
25166,11,1.43868
25474,11,0.4209931
26950,11,0.4627956
27400,11,0.1886555
24586,12,1.605014
25002,12,0.31307
25166,12,0.6992548
25474,12,0.4782354
26950,12,0.4947136
27400,12,0.6065933
24586,13,0.8021588
25002,13,1.577554
25166,13,0.8446029
25474,13,0.3981264
26950,13,0.3247274
27400,13,0.374637
24586,14,0.2458174
25002,14,0.6748099
25166,14,0.6193345
25474,14,0.3087694
26950,14,0.6785977
27400,14,0.4545043
24586,15,2.703732
25002,15,0.2699502
25166,15,0.3941207
25474,15,0.4116132
26950,15,0.7799774
27400,15,0.249517
24586,16,0.2445586
25002,16,0.1819975
25166,16,0.4517982
25474,16,0.356905
26950,16,2.233124
27400,16,0.3344965
24586,17,0.7296167
25002,17,0.366265
25166,17,0.2825989
25474,17,1.50001
26950,17,1.984074
27400,17,0.2569503
24586,18,2.717428
25002,18,0.4096082
25166,18,0.4156463
25474,18,0.38502
26950,18,0.935527
27400,18,0.4529203
24586,19,0.3950118
25002,19,0.3102335
25166,19,0.3246048
25474,19,0.4692238
26950,19,0.2729039
27400,19,0.9599295
24586,20,0.1768853
25002,20,0.3449429
25166,20,0.5392216
25474,20,0.2960056
26950,20,0.5109115
27400,20,2.51844
24586,21,2.725291
25002,21,0.3380934
25166,21,0.3048262
25474,21,0.2542594
26950,21,0.3938342
27400,21,0.3809707
24586,22,0.2521813
25002,22,0.1850481
25166,22,0.2292711
25474,22,0.4342148
26950,22,0.4993599
27400,22,0.9788757
24586,23,1.894557
25002,23,0.2328144
25166,23,2.187479
25474,23,0.1771447
26950,23,0.2359007
27400,23,0.1426982
24586,24,0.2558745
25002,24,0.1443891
25166,24,0.1438751
25474,24,0.1960003
